targetId,comparatorId,outcomeId,outcomeName,type
2585,2584,434165,Abnormal cervical smear,outcome
2585,2584,436409,Abnormal pupil,outcome
2585,2584,199192,Abrasion and/or friction burn of trunk without infection,outcome
2585,2584,4088290,Absence of breast,outcome
2585,2584,4092879,Absent kidney,outcome
2585,2584,436634,Acariasis,outcome
2585,2584,44783954,Acid reflux,outcome
2585,2584,75911,Acquired hallux valgus,outcome
2585,2584,137951,Acquired keratoderma,outcome
2585,2584,77965,Acquired trigger finger,outcome
2585,2584,376707,Acute conjunctivitis,outcome
2585,2584,4103640,Amputated foot,outcome
2585,2584,432595,Amyloidosis,outcome
2585,2584,73241,Anal and rectal polyp,outcome
2585,2584,437082,Ankylosing spondylitis,outcome
2585,2584,77650,Aseptic necrosis of bone,outcome
2585,2584,378424,Astigmatism,outcome
2585,2584,374923,Bell's palsy,outcome
2585,2584,4110709,Benign epithelial neoplasm of skin,outcome
2585,2584,133655,Burn of forearm,outcome
2585,2584,73560,Calcaneal spur,outcome
2585,2584,434327,Cannabis abuse,outcome
2585,2584,4213540,Cervical somatic dysfunction,outcome
2585,2584,381581,Chalazion,outcome
2585,2584,140842,Changes in skin texture,outcome
2585,2584,438531,Chondromalacia,outcome
2585,2584,81378,Chondromalacia of patella,outcome
2585,2584,4201390,Colostomy present,outcome
2585,2584,46269889,Complication due to Crohn's disease,outcome
2585,2584,134438,Contact dermatitis,outcome
2585,2584,78619,Contusion of knee,outcome
2585,2584,201606,Crohn's disease,outcome
2585,2584,260134,Croup,outcome
2585,2584,76786,Derangement of knee,outcome
2585,2584,4115402,Difficulty sleeping,outcome
2585,2584,443767,Disorder of eye due to diabetes mellitus,outcome
2585,2584,45757370,Disproportion of reconstructed breast,outcome
2585,2584,433111,Effects of hunger,outcome
2585,2584,441589,Endocarditis,outcome
2585,2584,200775,Endometrial hyperplasia,outcome
2585,2584,433527,Endometriosis (clinical),outcome
2585,2584,73008,Enthesopathy,outcome
2585,2584,4249170,Epicondylitis,outcome
2585,2584,4170770,Epidermoid cyst,outcome
2585,2584,4092896,Feces contents abnormal,outcome
2585,2584,259995,Foreign body in orifice,outcome
2585,2584,4050747,Fracture of upper limb,outcome
2585,2584,196456,Gallstone,outcome
2585,2584,40481632,Ganglion cyst,outcome
2585,2584,4166231,Genetic predisposition,outcome
2585,2584,74855,Genital herpes simplex,outcome
2585,2584,433577,Hammer toe,outcome
2585,2584,441818,Hemangioma,outcome
2585,2584,4231770,Hereditary thrombophilia,outcome
2585,2584,4012570,High risk sexual behavior,outcome
2585,2584,4038835,Hodgkin's disease (clinical),outcome
2585,2584,441788,Human papilloma virus infection,outcome
2585,2584,4254542,Hypopituitarism,outcome
2585,2584,4201717,Ileostomy present,outcome
2585,2584,374375,Impacted cerumen,outcome
2585,2584,140480,Impetigo,outcome
2585,2584,4344500,Impingement syndrome of shoulder region,outcome
2585,2584,139099,Ingrowing nail,outcome
2585,2584,444132,Injury of knee,outcome
2585,2584,434926,Iridocyclitis,outcome
2585,2584,196168,Irregular periods,outcome
2585,2584,75576,Irritable bowel syndrome,outcome
2585,2584,432593,Kwashiorkor,outcome
2585,2584,434203,Late effect of contusion,outcome
2585,2584,438329,Late effect of motor vehicle accident,outcome
2585,2584,443285,Lesion of cervix,outcome
2585,2584,195873,Leukorrhea,outcome
2585,2584,440638,Lyme disease,outcome
